AOT Stock Price Analysis
Maximum Price: 142.63
Minimum Price: 45.07
Average Price: 91.12

Trend Analysis:
      Date      Price  Price Change     Trend
2023-10-23  62.086599      0.000000 No Change
2023-10-24  75.420441     13.333842        Up
2023-10-25 128.329774     52.909332        Up
2023-10-26 137.609696      9.279923        Up
2023-10-27  91.912959    -45.696738      Down
2023-10-28  95.076085      3.163126        Up
2023-10-29  96.088346      1.012261        Up
2023-10-30  73.265520    -22.822826      Down
2023-10-31  62.609321    -10.656199      Down
2023-11-01 101.288681     38.679361        Up
2023-11-02  90.890493    -10.398188      Down
2023-11-03  62.332916    -28.557577      Down
2023-11-04 110.950074     48.617157        Up
2023-11-05 105.149583     -5.800491      Down
2023-11-06  64.720793    -40.428789      Down
2023-11-07  78.922051     14.201258        Up
2023-11-08  49.510532    -29.411518      Down
2023-11-09  97.554134     48.043602        Up
2023-11-10 135.400026     37.845891        Up
2023-11-11  84.327395    -51.072631      Down
2023-11-12  99.444255     15.116860        Up
2023-11-13 123.581113     24.136858        Up
2023-11-14  52.683636    -70.897477      Down
2023-11-15 126.469109     73.785473        Up
2023-11-16 121.368977     -5.100133      Down
2023-11-17  55.481745    -65.887231      Down
2023-11-18 104.898333     49.416587        Up
2023-11-19  80.207795    -24.690537      Down
2023-11-20  54.268999    -25.938796      Down
2023-11-21 142.630397     88.361398        Up
2023-11-22 136.533781     -6.096616      Down
2023-11-23 105.739683    -30.794098      Down
2023-11-24  49.471350    -56.268333      Down
2023-11-25 126.392746     76.921396        Up
2023-11-26 129.677546      3.284800        Up
2023-11-27  68.321820    -61.355726      Down
2023-11-28  96.433138     28.111318        Up
2023-11-29  68.597769    -27.835369      Down
2023-11-30 103.342902     34.745133        Up
2023-12-01  56.124191    -47.218712      Down
2023-12-02 105.331172     49.206981        Up
2023-12-03  70.889418    -34.441754      Down
2023-12-04  81.502785     10.613367        Up
2023-12-05  61.849742    -19.653044      Down
2023-12-06 108.676700     46.826958        Up
2023-12-07  67.749237    -40.927463      Down
2023-12-08 101.402036     33.652799        Up
2023-12-09  95.518955     -5.883080      Down
2023-12-10  53.183109    -42.335846      Down
2023-12-11  79.450721     26.267612        Up
2023-12-12 132.025309     52.574588        Up
2023-12-13  91.730109    -40.295200      Down
2023-12-14 140.986032     49.255924        Up
2023-12-15 122.872326    -18.113706      Down
2023-12-16  50.046271    -72.826055      Down
2023-12-17 125.868360     75.822089        Up
2023-12-18 138.670670     12.802310        Up
2023-12-19  76.554109    -62.116561      Down
2023-12-20  69.339382     -7.214727      Down
2023-12-21 133.198516     63.859134        Up
2023-12-22  87.578619    -45.619897      Down
2023-12-23  63.807964    -23.770655      Down
2023-12-24 134.763842     70.955878        Up
2023-12-25  50.062525    -84.701318      Down
2023-12-26 117.042395     66.979870        Up
2023-12-27 133.997603     16.955208        Up
2023-12-28  70.071980    -63.925623      Down
2023-12-29  50.298929    -19.773051      Down
2023-12-30  86.085492     35.786563        Up
2023-12-31  72.318065    -13.767426      Down
2024-01-01 112.064771     39.746705        Up
2024-01-02 124.753283     12.688512        Up
2024-01-03 117.622594     -7.130689      Down
2024-01-04 106.183316    -11.439278      Down
2024-01-05  60.956669    -45.226646      Down
2024-01-06  92.208893     31.252223        Up
2024-01-07  51.101426    -41.107466      Down
2024-01-08  68.854213     17.752786        Up
2024-01-09  95.199556     26.345343        Up
2024-01-10  97.764024      2.564468        Up
2024-01-11  91.999161     -5.764863      Down
2024-01-12 104.115237     12.116077        Up
2024-01-13  48.341679    -55.773558      Down
2024-01-14  45.069340     -3.272339      Down
2024-01-15  82.313855     37.244515        Up
2024-01-16  71.816221    -10.497634      Down
2024-01-17  82.918550     11.102329        Up
2024-01-18  55.478147    -27.440403      Down
2024-01-19  86.429869     30.951722        Up
2024-01-20  88.284676      1.854806        Up
2024-01-21  47.476221    -40.808455      Down
2024-01-22 108.133870     60.657649        Up
2024-01-23  99.842306     -8.291564      Down
2024-01-24  76.100313    -23.741993      Down
2024-01-25  80.811850      4.711537        Up
2024-01-26  84.277467      3.465617        Up
2024-01-27 100.138859     15.861392        Up
2024-01-28 135.102003     34.963144        Up
2024-01-29  94.001166    -41.100838      Down
2024-01-30 125.096240     31.095075        Up
